ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
CBA,Commonwealth Bank of Australia,Financials,"110,976,000,000",5.767,,,
WES,Wesfarmers Ltd,Consumer Discretionary,"42,734,400,000",2.221,,,
XRO,Xero Ltd,Information Technology,"11,285,800,000",0.587,,,
VAL,Valor Resources Ltd,Materials,"1,920,850",0,,,
VAN,Vango Mining Ltd,Materials,"100,855,000",0.005,,,
VAH,Virgin Australia Holdings Ltd,Industrials,"726,289,000",0.038,,,
VUK,Virgin Money Uk Plc,Financials,"1,514,520,000",0.079,,,
VUL,Vulcan Energy Resources Ltd,Materials,"10,027,500",0.001,,,
VVA,Viva Leisure Ltd,Consumer Discretionary,"117,888,000",0.006,,,
VAE,Vanguard Ftse Asia Ex Japan Shares INDEX ETF,,"178,410,000",0.009,,,
VACF,Vanguard Australian Corp Fixed Interest INDEX ETF,,"320,805,000",0.017,,,
VAF,Vanguard Australian Fixed Interest INDEX ETF,,"1,389,800,000",0.072,,,
VAP,Vanguard Australian Property Securities INDEX ETF,,"1,353,420,000",0.07,,,
VAR,Variscan Mines Ltd,Materials,"3,091,400",0,,,
VAS,Vanguard Australian Shares INDEX ETF,,"4,520,880,000",0.235,,,
VBLD,Vanguard Global Infrastructure INDEX ETF,,"88,962,700",0.005,,,
VBND,Vanguard Global Aggregate Bond INDEX (Hedged) ETF,,"151,197,000",0.008,,,
VBS,Vectus Biosystems Ltd,Health Care,"11,590,900",0.001,,,
VCF,Vanguard International Credit Securities INDEX (Hedged) ETF,,"203,890,000",0.011,,,
VCX,Vicinity Centres,Real Estate,"5,541,060,000",0.288,,,
VDBA,Vanguard Diversified Balanced INDEX ETF,,"235,707,000",0.012,,,
VDCO,Vanguard Diversified Conservative INDEX ETF,,"104,305,000",0.005,,,
VDGR,Vanguard Diversified Growth INDEX ETF,,"224,812,000",0.012,,,
VDHG,Vanguard Diversified High Growth INDEX ETF,,"330,209,000",0.017,,,
VEA,Viva Energy Group Ltd,Energy,"2,819,580,000",0.147,,,
VEC,Vector Resources Ltd,Materials,"25,660,700",0.001,,,
VEE,Veem Ltd,Industrials,"54,600,000",0.003,,,
VEFI,Vanguard Ethically Conscious GLB Agg Bond INDEX (Hedged) ETF,,"16,658,700",0.001,,,
VEN,Vintage Energy Ltd,Energy,"8,656,210",0,,,
VEQ,Vanguard Ftse Europe Shares ETF,,"230,728,000",0.012,,,
VESG,Vanguard Ethically Conscious International Shares INDEX ETF,,"104,965,000",0.005,,,
VEU,Vanguard All-World Ex-US Shares INDEX ETF,,"1,498,770,000",0.078,,,
VG1,Vgi Partners Global Investments Ltd,,"862,673,000",0.045,,,
VG8,Vgi Partners Asian Investments Ltd,,"485,312,000",0.025,,,
VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF,,"864,568,000",0.045,,,
VGB,Vanguard Australian Government Bond INDEX ETF,,"485,894,000",0.025,,,
VGE,Vanguard Ftse Emerging Markets Shares ETF,,"340,999,000",0.018,,,
VGI,VGI Partners Ltd,Financials,"694,313,000",0.036,,,
VGL,Vista Group International Ltd,Information Technology,"252,219,000",0.013,,,
VGMF,Vanguard Global Multi-Factor Active ETF (Managed Fund),,"15,551,000",0.001,,,
VGS,Vanguard MSCI INDEX International Shares ETF,,"2,123,080,000",0.11,,,
